"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 29","194.08","193.55","194.20","193.55","","0.27%"
"2025- 07- 28","193.55","193.00","193.77","192.18","","0.26%"
"2025- 07- 27","193.04","192.88","193.04","192.88","","0.01%"
"2025- 07- 25","193.03","191.50","193.22","191.50","","0.59%"
"2025- 07- 24","191.89","191.67","192.08","190.87","","-0.07%"
"2025- 07- 23","192.02","192.10","192.90","191.92","","-0.22%"
"2025- 07- 22","192.45","192.69","193.74","192.29","","-0.12%"
"2025- 07- 21","192.69","193.82","194.12","192.43","","-0.58%"
"2025- 07- 18","193.82","193.76","194.22","193.15","","0.03%"
"2025- 07- 17","193.77","192.96","194.52","192.92","","0.28%"
"2025- 07- 16","193.23","193.29","194.22","192.73","","-0.04%"
"2025- 07- 15","193.30","192.90","193.62","191.86","","0.21%"
"2025- 07- 14","192.90","192.39","193.15","191.90","","0.27%"
"2025- 07- 11","192.39","191.23","192.51","191.03","","0.63%"
"2025- 07- 10","191.19","191.37","191.90","190.91","","-0.09%"
"2025- 07- 09","191.37","191.01","192.08","191.00","","0.20%"
"2025- 07- 08","190.99","191.79","191.81","190.33","","-0.39%"
"2025- 07- 07","191.73","189.97","192.38","189.97","","0.83%"
"2025- 07- 04","190.16","190.18","190.73","189.54","","-0.02%"
"2025- 07- 03","190.19","189.29","191.24","188.74","","0.49%"
"2025- 07- 02","189.26","189.31","190.33","188.84","","-0.03%"
"2025- 07- 01","189.32","188.83","189.77","188.25","","0.26%"
"2025- 06- 30","188.83","190.25","190.25","188.06","","-0.75%"
"2025- 06- 27","190.25","189.45","190.44","188.76","","0.42%"
"2025- 06- 26","189.45","189.40","189.92","188.57","","0.03%"
"2025- 06- 25","189.40","189.51","190.50","188.82","","-0.06%"
"2025- 06- 24","189.51","190.96","191.10","189.10","","-0.77%"
"2025- 06- 23","190.98","191.26","193.58","190.83","","-0.15%"
"2025- 06- 20","191.26","191.53","192.06","190.07","","-0.14%"
"2025- 06- 19","191.52","191.39","192.79","190.59","","0.05%"
"2025- 06- 18","191.42","192.30","192.32","190.50","","-0.46%"
"2025- 06- 17","192.30","189.32","192.36","188.64","","1.56%"
"2025- 06- 16","189.35","190.35","190.60","188.35","","-0.51%"
"2025- 06- 13","190.33","188.94","191.31","188.66","","0.75%"
"2025- 06- 12","188.92","190.48","190.70","188.26","","-0.82%"
"2025- 06- 11","190.49","190.07","191.45","189.50","","0.22%"
"2025- 06- 10","190.08","188.60","190.56","188.12","","0.78%"
"2025- 06- 09","188.60","189.19","189.80","188.14","","-0.31%"
"2025- 06- 06","189.19","188.90","189.63","188.40","","0.15%"
"2025- 06- 05","188.90","189.56","190.01","188.41","","-0.35%"
"2025- 06- 04","189.56","191.81","191.88","189.42","","-1.17%"
"2025- 06- 03","191.81","191.27","192.05","191.02","","0.28%"
"2025- 06- 02","191.27","192.09","192.20","190.43","","-0.43%"
"2025- 05- 30","192.09","190.84","192.25","190.40","","0.65%"
"2025- 05- 29","190.84","191.06","192.64","190.43","","-0.12%"
"2025- 05- 28","191.06","191.20","191.50","190.20","","-0.07%"
"2025- 05- 27","191.20","190.55","191.45","189.83","","0.34%"
"2025- 05- 26","190.55","190.20","190.99","189.69","","0.18%"
"2025- 05- 23","190.20","191.87","192.15","189.87","","-0.87%"
"2025- 05- 22","191.87","190.89","192.45","190.61","","0.51%"
"2025- 05- 21","190.89","193.05","193.15","189.83","","-1.12%"
"2025- 05- 20","193.05","192.60","193.48","192.44","","0.23%"
"2025- 05- 19","192.60","194.07","194.29","192.26","","-0.76%"
"2025- 05- 16","194.07","193.97","194.68","192.67","","0.05%"
"2025- 05- 15","193.97","195.37","196.00","192.82","","-0.72%"
"2025- 05- 14","195.37","196.63","197.21","192.89","","-0.64%"
"2025- 05- 13","196.63","196.73","198.47","195.52","","-0.05%"
"2025- 05- 12","196.73","192.92","197.58","192.36","","1.97%"
"2025- 05- 09","192.92","194.18","195.25","192.68","","-0.65%"
"2025- 05- 08","194.18","193.55","194.47","192.38","","0.33%"
"2025- 05- 07","193.55","190.64","194.14","190.56","","1.53%"
"2025- 05- 06","190.63","189.15","192.33","189.07","","0.78%"
"2025- 05- 05","189.15","192.52","192.60","187.72","","-1.75%"
"2025- 05- 02","192.52","197.50","198.03","191.27","","-2.52%"
"2025- 05- 01","197.50","195.93","197.92","195.59","","0.80%"
"2025- 04- 30","195.93","197.01","197.27","195.32","","-0.55%"
"2025- 04- 29","197.01","196.97","198.00","196.83","","0.02%"
"2025- 04- 28","196.97","197.37","198.19","196.68","","-0.20%"
"2025- 04- 25","197.37","196.34","198.16","196.23","","0.52%"
"2025- 04- 24","196.35","195.89","197.32","195.65","","0.23%"
"2025- 04- 23","195.89","195.59","196.05","194.70","","0.15%"
"2025- 04- 22","195.59","195.08","195.81","194.01","","0.34%"
"2025- 04- 21","194.92","194.66","195.16","194.07","","-0.03%"
"2025- 04- 18","194.97","194.38","195.38","194.24","","0.43%"
"2025- 04- 17","194.14","193.70","194.86","193.63","","0.35%"
"2025- 04- 16","193.47","195.20","195.84","193.31","","-0.78%"
"2025- 04- 15","194.99","194.24","195.76","194.09","","0.47%"
"2025- 04- 14","194.08","194.88","196.21","193.98","","-0.29%"
"2025- 04- 11","194.65","198.77","199.32","194.45","","-1.99%"
"2025- 04- 10","198.60","196.73","199.68","196.73","","0.97%"
"2025- 04- 09","196.70","202.64","202.80","196.56","","-2.85%"
"2025- 04- 08","202.46","201.26","202.73","199.92","","0.68%"
"2025- 04- 07","201.10","200.43","202.08","199.32","","0.41%"
"2025- 04- 04","200.27","199.35","200.94","196.41","","0.55%"
"2025- 04- 03","199.18","201.72","202.68","199.10","","-1.05%"
"2025- 04- 02","201.30","202.33","202.80","200.89","","-0.44%"
"2025- 04- 01","202.18","202.98","203.63","201.98","","-0.32%"
"2025- 03- 31","202.83","202.44","203.57","202.15","","0.24%"
"2025- 03- 28","202.35","201.68","202.61","201.32","","0.38%"
"2025- 03- 27","201.59","202.09","202.51","201.40","","-0.17%"
