Date,Close,Open,High,Low,Change
2007-01-01,118.98,118.98,118.98,118.98,
2007-01-02,118.42,118.62,118.76,118.36,-0.5600000000000023
2007-01-03,118.49,118.37,118.6,118.34,0.06999999999999318
2007-01-04,119.31,119.19,119.45,119.06,0.8200000000000074
2007-01-05,119.66,119.28,119.77,119.12,0.3499999999999943
2007-01-08,120.07,119.63,120.22,119.63,0.4099999999999966
2007-01-09,120.24,120.09,120.31,119.7,0.1700000000000017
2007-01-10,120.13,120.39,120.62,120.09,-0.10999999999999943
2007-01-11,120.47,120.41,120.56,120.19,0.3400000000000034
2007-01-12,120.56,120.85,120.94,120.41,0.09000000000000341
2007-01-15,120.42,120.53,120.53,120.1,-0.14000000000000057
2007-01-16,120.09,120.3,120.37,120.09,-0.3299999999999983
2007-01-17,120.5,120.19,120.54,120.19,0.4099999999999966
2007-01-18,120.55,120.51,120.62,120.39,0.04999999999999716
2007-01-19,120.41,120.89,121.04,120.36,-0.14000000000000057
2007-01-22,120.93,120.42,121.03,120.37,0.5200000000000102
2007-01-23,120.91,120.88,121.22,120.84,-0.020000000000010232
2007-01-24,120.44,120.8,120.84,120.43,-0.46999999999999886
2007-01-25,120.5,120.32,120.62,120.31,0.060000000000002274
2007-01-26,120.94,120.9,121.06,120.74,0.4399999999999977
2007-01-29,121.07,121.03,121.07,120.72,0.12999999999999545
2007-01-30,121.23,120.95,121.32,120.81,0.1600000000000108
2007-01-31,121.09,121.27,121.36,121.06,-0.14000000000000057
2007-02-01,120.78,120.65,121.1,120.58,-0.3100000000000023
2007-02-02,120.84,120.91,121.01,120.75,0.060000000000002274
2007-02-05,120.61,121.0,121.05,120.55,-0.23000000000000398
2007-02-06,120.27,120.47,120.47,120.16,-0.3400000000000034
2007-02-07,120.5,120.15,120.53,119.93,0.23000000000000398
2007-02-08,120.66,120.54,120.84,120.5,0.1599999999999966
2007-02-09,120.59,120.63,120.75,120.43,-0.06999999999999318
2007-02-12,120.9,120.66,120.91,120.59,0.3100000000000023
2007-02-13,121.08,120.69,121.14,120.69,0.1799999999999926
2007-02-14,120.95,121.08,121.11,120.76,-0.12999999999999545
2007-02-15,120.53,120.48,120.78,120.28,-0.4200000000000017
2007-02-16,120.83,120.34,121.08,120.33,0.29999999999999716
2007-02-19,120.83,120.83,120.84,120.83,0.0
2007-02-20,121.09,120.73,121.17,120.73,0.2600000000000051
2007-02-21,121.09,121.05,121.27,120.8,0.0
2007-02-22,121.15,121.24,121.37,121.09,0.060000000000002274
2007-02-23,121.05,121.31,121.34,120.98,-0.10000000000000853
2007-02-26,121.16,120.94,121.23,120.86,0.10999999999999943
2007-02-27,121.29,121.21,121.32,121.0,0.13000000000000966
2007-02-28,121.7,121.48,121.74,121.38,0.4099999999999966
2007-03-01,121.62,121.69,121.7,121.55,-0.0799999999999983
2007-03-02,121.76,121.7,121.82,121.47,0.14000000000000057
2007-03-05,122.76,122.47,123.01,122.44,1.0
2007-03-06,122.41,122.53,122.53,122.22,-0.3500000000000085
