"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 25","79.09","78.43","79.26","78.34","144.12K","0.24%"
"2025- 07- 24","78.90","79.45","79.69","78.68","21.41K","-0.40%"
"2025- 07- 23","79.22","79.16","79.40","78.89","21.15K","1.43%"
"2025- 07- 22","78.10","78.50","78.50","77.99","21.90K","-0.76%"
"2025- 07- 21","78.70","78.98","79.09","78.30","51.91K","-0.29%"
"2025- 07- 18","78.93","79.33","79.48","78.85","79.73K","-0.04%"
"2025- 07- 17","78.96","78.66","78.96","78.56","6.76K","1.33%"
"2025- 07- 16","77.92","78.07","78.51","77.92","114.81K","-0.52%"
"2025- 07- 15","78.33","78.90","79.02","78.33","67.00K","-0.51%"
"2025- 07- 14","78.73","78.36","78.77","78.32","27.08K","-0.30%"
