"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 25","24,217.50","24,097.33","24,252.59","24,065.19","54.01M","-0.32%"
"2025- 07- 24","24,295.93","24,502.99","24,514.93","24,235.44","78.04M","0.23%"
"2025- 07- 23","24,240.82","24,246.80","24,310.96","24,122.19","80.49M","0.83%"
"2025- 07- 22","24,041.90","24,236.09","24,237.41","23,921.83","49.15M","-1.09%"
"2025- 07- 21","24,307.80","24,309.39","24,335.26","24,191.63","42.78M","0.08%"
"2025- 07- 18","24,289.51","24,483.66","24,494.88","24,251.36","47.71M","-0.33%"
"2025- 07- 17","24,370.93","24,227.54","24,374.50","24,174.76","47.54M","1.51%"
"2025- 07- 16","24,009.38","24,011.99","24,207.81","23,968.95","51.69M","-0.21%"
"2025- 07- 15","24,060.29","24,220.52","24,266.81","24,060.29","41.80M","-0.42%"
"2025- 07- 14","24,160.64","24,038.29","24,168.14","23,975.46","42.20M","-0.39%"
