"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 05- 30","1,569.42","1,558.65","1,572.08","1,556.82","","0.63%"
"2025- 05- 29","1,559.54","1,552.74","1,561.67","1,540.93","","0.46%"
"2025- 05- 28","1,552.33","1,558.57","1,560.46","1,546.89","","-0.40%"
"2025- 05- 27","1,558.64","1,559.52","1,562.43","1,555.23","","-0.06%"
"2025- 05- 26","1,559.52","1,552.20","1,561.94","1,551.01","","0.48%"
"2025- 05- 23","1,552.14","1,559.23","1,561.75","1,546.70","","-0.45%"
"2025- 05- 22","1,559.23","1,557.96","1,567.22","1,554.97","","0.09%"
"2025- 05- 21","1,557.82","1,572.54","1,576.62","1,550.51","","-0.94%"
"2025- 05- 20","1,572.54","1,561.57","1,573.95","1,560.35","","0.65%"
"2025- 05- 19","1,562.34","1,562.90","1,570.58","1,556.65","","0.03%"
"2025- 05- 16","1,561.92","1,564.14","1,567.80","1,555.51","","-0.15%"
"2025- 05- 15","1,564.21","1,574.07","1,579.68","1,557.82","","-0.61%"
"2025- 05- 14","1,573.79","1,584.98","1,592.20","1,562.79","","-0.71%"
"2025- 05- 13","1,584.98","1,570.92","1,588.18","1,562.96","","0.88%"
"2025- 05- 12","1,571.13","1,566.28","1,584.26","1,559.72","","0.05%"
"2025- 05- 09","1,570.40","1,577.34","1,585.88","1,568.72","","-0.44%"
"2025- 05- 08","1,577.34","1,580.17","1,584.83","1,573.23","","-0.21%"
"2025- 05- 07","1,580.66","1,564.20","1,592.09","1,558.14","","1.04%"
"2025- 05- 06","1,564.34","1,556.15","1,572.33","1,551.35","","0.53%"
"2025- 05- 05","1,556.15","1,582.24","1,588.55","1,547.57","","-1.59%"
"2025- 05- 02","1,581.33","1,621.71","1,624.33","1,576.79","","-2.49%"
"2025- 05- 01","1,621.71","1,613.96","1,623.26","1,609.29","","0.48%"
"2025- 04- 30","1,613.96","1,630.57","1,633.67","1,609.79","","-1.02%"
"2025- 04- 29","1,630.57","1,641.15","1,644.16","1,629.77","","-0.64%"
"2025- 04- 28","1,641.15","1,635.20","1,643.23","1,630.41","","0.39%"
"2025- 04- 25","1,634.70","1,629.89","1,641.97","1,622.85","","0.30%"
"2025- 04- 24","1,629.89","1,615.13","1,637.67","1,614.40","","0.91%"
"2025- 04- 23","1,615.13","1,633.35","1,634.72","1,613.34","","-1.12%"
"2025- 04- 22","1,633.35","1,638.09","1,642.12","1,628.39","","-0.20%"
"2025- 04- 21","1,636.58","1,621.25","1,641.23","1,616.56","","0.93%"
"2025- 04- 18","1,621.50","1,612.30","1,623.79","1,611.52","","0.68%"
"2025- 04- 17","1,610.61","1,613.13","1,618.52","1,604.90","","-0.05%"
"2025- 04- 16","1,611.35","1,611.15","1,623.81","1,607.45","","0.12%"
"2025- 04- 15","1,609.38","1,612.10","1,625.49","1,607.79","","-0.09%"
"2025- 04- 14","1,610.89","1,604.08","1,631.59","1,603.51","","-0.11%"
"2025- 04- 11","1,612.59","1,628.59","1,654.75","1,602.70","","-0.86%"
"2025- 04- 10","1,626.62","1,584.47","1,632.69","1,583.04","","2.74%"
"2025- 04- 09","1,583.30","1,629.41","1,644.06","1,581.19","","-2.74%"
"2025- 04- 08","1,627.88","1,603.96","1,630.47","1,602.28","","1.57%"
"2025- 04- 07","1,602.79","1,590.29","1,618.99","1,588.39","","0.31%"
"2025- 04- 04","1,597.80","1,604.39","1,608.27","1,576.14","","-0.32%"
"2025- 04- 03","1,602.88","1,590.54","1,624.68","1,585.14","","0.92%"
"2025- 04- 02","1,588.29","1,587.66","1,598.95","1,577.34","","0.11%"
"2025- 04- 01","1,586.51","1,593.47","1,599.61","1,585.81","","-0.36%"
"2025- 03- 31","1,592.32","1,591.27","1,598.13","1,588.77","","0.06%"
"2025- 03- 28","1,591.43","1,582.74","1,593.92","1,578.77","","0.59%"
"2025- 03- 27","1,582.11","1,579.50","1,585.84","1,574.04","","0.24%"
"2025- 03- 26","1,578.25","1,578.84","1,584.69","1,576.95","","-0.03%"
"2025- 03- 25","1,578.70","1,585.04","1,589.09","1,578.61","","-0.36%"
"2025- 03- 24","1,584.34","1,582.15","1,592.56","1,582.15","","0.12%"
"2025- 03- 21","1,582.43","1,592.13","1,594.82","1,581.64","","-0.50%"
"2025- 03- 20","1,590.45","1,593.31","1,596.24","1,587.51","","-0.12%"
"2025- 03- 19","1,592.31","1,586.51","1,595.44","1,580.99","","0.43%"
"2025- 03- 18","1,585.45","1,576.93","1,590.95","1,573.27","","0.61%"
"2025- 03- 17","1,575.85","1,578.30","1,581.42","1,572.71","","-0.14%"
"2025- 03- 14","1,578.13","1,578.54","1,587.36","1,574.49","","0.07%"
"2025- 03- 13","1,577.05","1,580.94","1,584.60","1,575.48","","-0.16%"
