"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 27","1,626.98","1,624.82","1,627.33","1,626.13","","0.14%"
"2025- 07- 25","1,624.67","1,612.93","1,625.24","1,609.43","","0.73%"
"2025- 07- 24","1,612.93","1,615.56","1,619.42","1,607.31","","-0.34%"
"2025- 07- 23","1,618.51","1,622.96","1,623.90","1,611.05","","-0.28%"
"2025- 07- 22","1,623.03","1,617.26","1,625.59","1,616.02","","0.36%"
"2025- 07- 21","1,617.26","1,617.55","1,620.34","1,612.77","","-0.07%"
"2025- 07- 20","1,618.40","1,615.84","1,618.74","1,617.42","","0.06%"
"2025- 07- 18","1,617.41","1,614.08","1,622.07","1,613.16","","0.20%"
"2025- 07- 17","1,614.15","1,614.92","1,618.19","1,609.58","","0.00%"
"2025- 07- 16","1,614.09","1,608.38","1,625.72","1,607.83","","0.35%"
"2025- 07- 15","1,608.52","1,612.99","1,617.00","1,607.26","","-0.26%"
"2025- 07- 14","1,612.64","1,607.76","1,617.14","1,606.72","","0.02%"
