"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 25","1,622.91","1,612.40","1,622.91","1,611.50","","0.56%"
"2025- 07- 24","1,613.81","1,612.40","1,619.42","1,607.31","","-0.29%"
"2025- 07- 23","1,618.51","1,622.96","1,623.90","1,611.05","","-0.28%"
"2025- 07- 22","1,623.03","1,617.26","1,625.59","1,616.02","","0.36%"
"2025- 07- 21","1,617.26","1,617.55","1,620.34","1,612.77","","-0.07%"
"2025- 07- 20","1,618.40","1,615.84","1,618.74","1,617.42","","0.06%"
"2025- 07- 18","1,617.41","1,614.08","1,622.07","1,613.16","","0.20%"
"2025- 07- 17","1,614.15","1,614.92","1,618.19","1,609.58","","0.00%"
"2025- 07- 16","1,614.09","1,608.38","1,625.72","1,607.83","","0.35%"
"2025- 07- 15","1,608.52","1,612.99","1,617.00","1,607.26","","-0.26%"
"2025- 07- 14","1,612.64","1,607.76","1,617.14","1,606.72","","0.02%"
"2025- 07- 11","1,612.24","1,605.06","1,612.86","1,603.30","","0.45%"
"2025- 07- 10","1,604.99","1,610.00","1,614.78","1,602.46","","-0.35%"
"2025- 07- 09","1,610.55","1,606.57","1,614.84","1,605.82","","0.25%"
"2025- 07- 08","1,606.51","1,610.74","1,615.21","1,602.78","","-0.25%"
"2025- 07- 07","1,610.61","1,603.31","1,614.09","1,602.13","","0.35%"
"2025- 07- 04","1,604.92","1,603.07","1,608.89","1,597.18","","0.12%"
"2025- 07- 03","1,603.00","1,600.10","1,609.66","1,594.28","","0.18%"
"2025- 07- 02","1,600.10","1,601.57","1,608.51","1,596.55","","-0.09%"
"2025- 07- 01","1,601.57","1,594.48","1,603.42","1,590.30","","0.44%"
"2025- 06- 30","1,594.55","1,598.54","1,602.09","1,580.07","","-0.30%"
"2025- 06- 27","1,599.29","1,588.17","1,599.55","1,582.46","","0.66%"
"2025- 06- 26","1,588.78","1,584.82","1,591.82","1,581.52","","0.25%"
"2025- 06- 25","1,584.83","1,577.80","1,586.19","1,571.40","","0.44%"
"2025- 06- 24","1,577.81","1,587.44","1,591.91","1,573.82","","-0.61%"
"2025- 06- 23","1,587.44","1,576.48","1,599.23","1,572.01","","0.33%"
"2025- 06- 20","1,582.25","1,582.61","1,587.72","1,571.31","","-0.02%"
"2025- 06- 19","1,582.53","1,580.28","1,588.14","1,572.78","","0.16%"
"2025- 06- 18","1,579.94","1,586.22","1,587.47","1,575.24","","-0.40%"
"2025- 06- 17","1,586.22","1,571.54","1,587.44","1,564.22","","0.92%"
"2025- 06- 16","1,571.78","1,575.98","1,579.54","1,569.75","","-0.46%"
"2025- 06- 13","1,579.06","1,569.55","1,582.55","1,568.86","","0.58%"
"2025- 06- 12","1,569.97","1,573.98","1,578.79","1,560.27","","-0.26%"
"2025- 06- 11","1,574.05","1,560.83","1,577.32","1,556.97","","0.84%"
"2025- 06- 10","1,560.90","1,546.78","1,565.28","1,542.58","","0.90%"
"2025- 06- 09","1,546.92","1,550.54","1,555.65","1,543.61","","-0.19%"
"2025- 06- 06","1,549.93","1,551.35","1,556.53","1,546.32","","-0.10%"
"2025- 06- 05","1,551.41","1,555.12","1,559.07","1,546.86","","-0.24%"
"2025- 06- 04","1,555.12","1,567.80","1,570.30","1,549.39","","-0.80%"
"2025- 06- 03","1,567.73","1,575.49","1,577.50","1,564.57","","-0.50%"
"2025- 06- 02","1,575.63","1,568.73","1,578.69","1,561.89","","0.40%"
