"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 03- 28","20.60","20.05","20.88","19.84","","5.03%"
"2025- 03- 27","19.61","19.82","20.02","19.19","","3.11%"
"2025- 03- 26","19.02","17.74","19.06","17.72","","8.12%"
"2025- 03- 25","17.59","18.21","18.27","17.58","","-5.47%"
"2025- 03- 24","18.61","20.10","20.10","18.54","","-5.49%"
"2025- 03- 21","19.69","19.13","19.85","19.10","","3.62%"
"2025- 03- 20","19.00","18.30","19.57","18.05","","0.18%"
"2025- 03- 18","18.97","18.78","19.41","18.57","","-0.75%"
"2025- 03- 17","19.11","20.67","20.67","19.04","","-21.35%"
"2025- 03- 11","24.30","24.05","25.09","23.01","","13.33%"
"2025- 03- 06","21.44","20.88","22.56","20.78","","-0.23%"
"2025- 03- 05","21.49","20.46","21.58","20.42","","-4.91%"
"2025- 03- 04","22.60","20.62","22.90","20.04","","21.43%"
"2025- 03- 03","18.61","18.80","19.50","18.20","","-0.08%"
"2025- 02- 28","18.63","19.47","19.70","18.38","","3.33%"
"2025- 02- 27","18.03","17.75","18.62","16.98","","6.12%"
"2025- 02- 26","16.99","17.06","17.45","16.83","","-4.46%"
"2025- 02- 25","17.78","17.18","17.91","16.79","","4.90%"
"2025- 02- 24","16.95","17.26","18.12","16.32","","2.88%"
"2025- 02- 21","16.47","17.25","17.51","16.36","","-5.95%"
"2025- 02- 20","17.52","16.96","17.84","16.79","","0.55%"
"2025- 02- 19","17.42","16.09","17.99","15.86","","7.75%"
"2025- 02- 18","16.17","16.21","16.55","15.99","","-0.29%"
"2025- 02- 17","16.21","16.10","16.42","15.98","","2.12%"
"2025- 02- 14","15.88","15.93","16.35","15.78","","-3.88%"
"2025- 02- 13","16.52","15.90","17.13","15.74","","2.17%"
"2025- 02- 12","16.17","16.20","16.70","16.07","","-0.48%"
"2025- 02- 11","16.24","16.50","16.73","16.22","","-2.27%"
"2025- 02- 10","16.62","16.71","16.85","16.50","","-0.20%"
"2025- 02- 07","16.65","15.88","16.78","15.48","","4.10%"
"2025- 02- 06","16.00","16.09","16.32","15.90","","-2.92%"
"2025- 02- 05","16.48","17.05","17.07","16.48","","-1.75%"
"2025- 02- 04","16.77","17.56","17.96","16.77","","-4.62%"
"2025- 02- 03","17.58","18.49","19.07","17.23","","14.50%"
"2025- 01- 31","15.36","14.94","15.46","14.88","","3.01%"
"2025- 01- 30","14.91","15.20","15.29","14.90","","-5.26%"
"2025- 01- 29","15.74","15.80","15.80","15.41","","-2.65%"
"2025- 01- 28","16.17","16.68","16.74","15.94","","-3.56%"
"2025- 01- 27","16.76","17.29","18.36","16.51","","12.81%"
"2025- 01- 24","14.86","14.95","15.30","14.84","","-0.77%"
"2025- 01- 23","14.98","15.29","15.37","14.93","","-0.19%"
"2025- 01- 22","15.00","15.23","15.37","14.98","","-2.91%"
"2025- 01- 21","15.45","16.71","16.71","15.43","","-7.08%"
"2025- 01- 20","16.63","16.61","16.94","16.57","","5.81%"
"2025- 01- 17","15.72","15.69","16.00","15.20","","0.99%"
"2025- 01- 16","15.56","15.30","15.93","15.19","","-3.36%"
