"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 05- 30","0.8812","0.8799","0.8840","0.8779","","0.20%"
"2025- 05- 29","0.8794","0.8853","0.8921","0.8784","","-0.69%"
"2025- 05- 28","0.8855","0.8828","0.8863","0.8814","","0.32%"
"2025- 05- 27","0.8827","0.8782","0.8832","0.8766","","0.52%"
"2025- 05- 26","0.8781","0.8799","0.8803","0.8758","","-0.20%"
"2025- 05- 23","0.8799","0.8865","0.8867","0.8791","","-0.74%"
"2025- 05- 22","0.8865","0.8825","0.8885","0.8814","","0.44%"
"2025- 05- 21","0.8826","0.8863","0.8865","0.8801","","-0.42%"
"2025- 05- 20","0.8863","0.8899","0.8915","0.8860","","-0.35%"
"2025- 05- 19","0.8894","0.8952","0.8953","0.8858","","-0.71%"
"2025- 05- 16","0.8958","0.8938","0.8985","0.8913","","0.22%"
"2025- 05- 15","0.8938","0.8947","0.8953","0.8906","","-0.12%"
"2025- 05- 14","0.8949","0.8941","0.8957","0.8876","","0.10%"
"2025- 05- 13","0.8940","0.9021","0.9022","0.8933","","-0.89%"
"2025- 05- 12","0.9020","0.8914","0.9038","0.8894","","1.45%"
"2025- 05- 09","0.8891","0.8907","0.8932","0.8855","","-0.18%"
"2025- 05- 08","0.8907","0.8850","0.8920","0.8821","","0.68%"
"2025- 05- 07","0.8847","0.8796","0.8856","0.8788","","0.59%"
"2025- 05- 06","0.8795","0.8839","0.8866","0.8787","","-0.50%"
"2025- 05- 05","0.8839","0.8848","0.8856","0.8799","","-0.16%"
"2025- 05- 02","0.8853","0.8856","0.8871","0.8787","","-0.03%"
"2025- 05- 01","0.8856","0.8827","0.8876","0.8818","","0.33%"
"2025- 04- 30","0.8827","0.8783","0.8836","0.8772","","0.50%"
"2025- 04- 29","0.8783","0.8755","0.8795","0.8755","","0.32%"
"2025- 04- 28","0.8755","0.8797","0.8827","0.8753","","-0.50%"
"2025- 04- 25","0.8799","0.8780","0.8838","0.8776","","0.22%"
"2025- 04- 24","0.8780","0.8838","0.8839","0.8773","","-0.66%"
"2025- 04- 23","0.8838","0.8756","0.8844","0.8741","","0.92%"
"2025- 04- 22","0.8757","0.8685","0.8759","0.8660","","0.82%"
"2025- 04- 21","0.8686","0.8782","0.8782","0.8640","","-1.05%"
"2025- 04- 18","0.8778","0.8798","0.8805","0.8773","","-0.24%"
"2025- 04- 17","0.8799","0.8776","0.8822","0.8764","","0.30%"
"2025- 04- 16","0.8773","0.8863","0.8865","0.8762","","-1.03%"
"2025- 04- 15","0.8864","0.8811","0.8878","0.8788","","0.60%"
"2025- 04- 14","0.8811","0.8859","0.8863","0.8753","","0.09%"
"2025- 04- 11","0.8803","0.8928","0.8938","0.8715","","-1.42%"
"2025- 04- 10","0.8930","0.9132","0.9139","0.8896","","-2.21%"
"2025- 04- 09","0.9132","0.9126","0.9164","0.9013","","0.05%"
"2025- 04- 08","0.9127","0.9171","0.9185","0.9097","","-0.48%"
"2025- 04- 07","0.9171","0.9178","0.9189","0.9049","","0.47%"
"2025- 04- 04","0.9128","0.9048","0.9154","0.9002","","0.88%"
"2025- 04- 03","0.9048","0.9212","0.9255","0.8972","","-1.78%"
"2025- 04- 02","0.9212","0.9265","0.9277","0.9153","","-0.57%"
"2025- 04- 01","0.9265","0.9245","0.9279","0.9233","","0.22%"
"2025- 03- 31","0.9245","0.9241","0.9273","0.9217","","0.11%"
"2025- 03- 28","0.9235","0.9258","0.9290","0.9221","","-0.25%"
"2025- 03- 27","0.9258","0.9300","0.9318","0.9241","","-0.45%"
"2025- 03- 26","0.9300","0.9267","0.9308","0.9257","","0.36%"
"2025- 03- 25","0.9267","0.9258","0.9280","0.9233","","0.09%"
"2025- 03- 24","0.9259","0.9252","0.9276","0.9209","","0.13%"
"2025- 03- 21","0.9247","0.9215","0.9262","0.9207","","0.35%"
"2025- 03- 20","0.9215","0.9172","0.9247","0.9159","","0.47%"
"2025- 03- 19","0.9172","0.9137","0.9208","0.9135","","0.38%"
"2025- 03- 18","0.9137","0.9155","0.9181","0.9128","","-0.20%"
"2025- 03- 17","0.9155","0.9194","0.9201","0.9149","","-0.39%"
"2025- 03- 14","0.9191","0.9215","0.9234","0.9164","","-0.26%"
"2025- 03- 13","0.9215","0.9185","0.9241","0.9176","","0.33%"
"2025- 03- 12","0.9185","0.9158","0.9196","0.9148","","0.28%"
"2025- 03- 11","0.9159","0.9230","0.9235","0.9135","","-0.77%"
