,Date,Dax_종가,Dax_시가,Dax_고가,Dax_저가,Dax_거래량(백 만),Dax_변동%,VSTOXX_종가,VSTOXX_시가,VSTOXX_고가,VSTOXX_저가,VSTOXX_변동%,EUROSTOXX50_종가,EUROSTOXX50_시가,EUROSTOXX50_고가,EUROSTOXX50_저가,EUROSTOXX50_변동%,유로지역(M1),유로지역(M2)
0,2012-12-28,7612.39,7649.89,7665.68,7602.89,48.12,-0.57,21.35,17.84,21.35,17.79,17.11,2626.85,2660.89,2664.37,2626.41,-1.24,5102595,8998474
1,2013-01-02,7778.78,7689.46,7789.94,7689.46,140.35,2.19,18.36,18.37,19.09,17.49,-14.0,2711.25,2659.79,2711.25,2659.79,2.86,5105555,9014275
2,2013-01-03,7756.44,7762.13,7777.02,7737.98,86.17,-0.29,17.54,18.01,18.28,17.51,-4.47,2701.22,2705.8,2705.8,2689.3,-0.37,5105555,9014275
3,2013-01-04,7776.37,7740.99,7779.67,7727.55,101.58,0.26,16.07,17.82,17.87,16.05,-8.38,2709.35,2696.94,2711.02,2690.11,0.3,5105555,9014275
4,2013-01-07,7732.66,7760.01,7767.55,7713.42,151.7,-0.56,16.82,16.52,17.03,16.43,4.67,2695.56,2712.25,2714.18,2691.04,-0.51,5105555,9014275
5,2013-01-08,7695.83,7710.7,7754.38,7683.48,130.43,-0.48,16.9,16.9,16.97,16.33,0.48,2691.45,2690.91,2710.2,2684.9,-0.15,5105555,9014275
6,2013-01-09,7720.47,7713.57,7734.78,7688.55,158.33,0.32,16.15,16.25,16.56,15.84,-4.44,2706.39,2697.51,2710.49,2691.0,0.56,5105555,9014275
7,2013-01-10,7708.47,7732.14,7773.69,7685.08,176.13,-0.16,16.12,16.22,16.58,15.57,-0.19,2708.27,2705.6,2725.38,2693.93,0.07,5105555,9014275
8,2013-01-11,7715.53,7725.93,7731.45,7683.92,174.96,0.09,15.57,15.98,16.11,15.56,-3.41,2717.79,2712.78,2719.99,2702.72,0.35,5105555,9014275
9,2013-01-14,7729.52,7737.61,7785.82,7702.36,41.22,0.18,15.7,15.98,16.2,15.0,0.83,2715.16,2725.41,2735.36,2707.36,-0.1,5105555,9014275
10,2013-01-15,7675.91,7704.05,7735.21,7635.88,138.58,-0.69,15.97,16.2,16.33,15.34,1.72,2701.59,2709.91,2715.95,2690.24,-0.5,5105555,9014275
11,2013-01-16,7691.13,7661.61,7694.8,7643.14,108.71,0.2,16.15,15.98,17.01,15.83,1.13,2702.54,2699.21,2704.8,2685.27,0.04,5105555,9014275
12,2013-01-17,7735.46,7677.28,7764.03,7662.43,110.87,0.58,15.91,16.37,16.39,15.42,-1.49,2718.93,2699.47,2727.04,2697.06,0.61,5105555,9014275
13,2013-01-18,7702.23,7747.13,7753.49,7702.23,133.35,-0.43,15.88,15.93,16.26,15.64,-0.19,2709.59,2723.88,2731.04,2707.35,-0.34,5105555,9014275
14,2013-01-21,7748.86,7727.77,7749.82,7719.02,71.75,0.61,15.46,15.93,15.93,15.17,-2.64,2726.63,2715.0,2726.63,2712.99,0.63,5105555,9014275
