Date,Dax_종가,Dax_시가,Dax_고가,Dax_저가,Dax_거래량(백 만),Dax_변동%,VSTOXX_종가,VSTOXX_시가,VSTOXX_고가,VSTOXX_저가,VSTOXX_변동%,EUROSTOXX50_종가,EUROSTOXX50_시가,EUROSTOXX50_고가,EUROSTOXX50_저가,EUROSTOXX50_변동%,CAC_종가,CAC_시가,CAC_고가,CAC_저가,CAC_거래량(백 만),CAC_변동%,Close,Open,High,Low,변동 %
2025-03-28,22461.52,22558.84,22614.96,22377.91,81.65,-0.96,20.6,20.05,20.88,19.84,5.03,5331.4,5368.9,5374.8,5314.54,-0.92,7916.08,7949.23,7975.55,7894.62,74.15,-0.93,1591.43,1582.74,1593.92,1578.77,0.59
2025-03-27,22678.74,22574.46,22740.47,22469.88,74.82,-0.7,19.61,19.82,20.02,19.19,3.11,5381.08,5393.32,5399.57,5338.62,-0.57,7990.11,7968.8,8015.89,7926.93,71.34,-0.51,1582.11,1579.5,1585.84,1574.04,0.24
2025-03-26,22839.03,23202.25,23204.59,22826.37,57.8,-1.17,19.02,17.74,19.06,17.72,8.12,5411.69,5479.68,5491.24,5407.52,-1.16,8030.68,8121.99,8127.91,8025.21,68.18,-0.96,1578.25,1578.84,1584.69,1576.95,-0.03
2025-03-25,23109.79,22913.42,23182.78,22845.52,60.67,1.13,17.59,18.21,18.27,17.58,-5.47,5475.08,5422.47,5496.73,5422.47,1.09,8108.59,8042.73,8142.51,8042.73,66.8,1.08,1578.7,1585.04,1589.09,1578.61,-0.36
2025-03-24,22852.66,23075.76,23137.48,22813.11,66.76,-0.17,18.61,20.1,20.1,18.54,-5.49,5415.79,5441.6,5470.23,5402.34,-0.15,8022.33,8104.71,8114.45,8002.34,61.43,-0.26,1584.34,1582.15,1592.56,1582.15,0.12
2025-03-21,22891.68,22926.42,22956.98,22723.19,146.78,-0.47,19.69,19.13,19.85,19.1,3.62,5423.83,5435.76,5436.46,5393.3,-0.5,8042.95,8062.27,8075.44,8010.26,145.11,-0.63,1582.43,1592.13,1594.82,1581.64,-0.5
2025-03-20,22999.15,23295.72,23315.49,22819.76,92.47,-1.24,19.0,18.3,19.57,18.05,0.18,5450.93,5506.82,5515.38,5431.99,-1.02,8094.2,8164.09,8167.48,8062.14,71.33,-0.95,1590.45,1593.31,1596.24,1587.51,-0.12
2025-03-18,23380.7,23266.65,23476.01,23240.56,80.66,0.98,18.97,18.78,19.41,18.57,-0.75,5485.01,5454.2,5501.41,5454.2,0.72,8114.57,8100.89,8140.09,8090.63,78.61,0.5,1585.45,1576.93,1590.95,1573.27,0.61
2025-03-17,23154.57,22998.53,23154.57,22933.57,67.15,0.73,19.11,20.67,20.67,19.04,-21.35,5445.55,5400.82,5446.86,5386.99,0.77,8073.98,8034.23,8087.6,8010.71,68.24,0.57,1575.85,1578.3,1581.42,1572.71,-0.14
2025-03-11,22328.77,22680.39,22835.1,22258.3,97.37,-1.29,24.3,24.05,25.09,23.01,13.33,5309.9,5400.1,5426.63,5294.37,-1.43,7941.91,8092.02,8111.22,7921.05,102.84,-1.31,1584.29,1581.63,1590.36,1579.04,0.23
2025-03-06,23419.48,23245.34,23475.88,23061.57,149.03,1.47,21.44,20.88,22.56,20.78,-0.23,5520.47,5507.88,5541.41,5452.35,0.57,8197.67,8226.19,8229.44,8103.54,111.8,0.29,1560.67,1559.77,1570.2,1554.29,0.12
2025-03-05,23081.03,22804.81,23176.39,22790.89,143.96,3.38,21.49,20.46,21.58,20.42,-4.91,5489.12,5409.93,5533.18,5409.93,1.89,8173.75,8174.08,8245.24,8151.47,114.73,1.56,1558.87,1544.93,1560.71,1542.34,0.97
2025-03-04,22326.81,22852.72,22869.92,22320.07,108.16,-3.54,22.6,20.62,22.9,20.04,21.43,5387.31,5511.65,5511.65,5370.75,-2.77,8047.92,8112.13,8136.27,8001.15,109.31,-1.85,1543.83,1530.14,1545.15,1526.66,0.98
2025-03-03,23147.02,22682.95,23307.97,22531.6,94.04,2.64,18.61,18.8,19.5,18.2,-0.08,5540.69,5469.1,5568.19,5434.62,1.41,8199.71,8139.13,8257.88,8087.31,91.39,1.09,1528.8,1517.64,1532.74,1517.28,0.84
2025-02-28,22551.43,22409.25,22551.43,22329.06,119.06,0.0,18.63,19.47,19.7,18.38,3.33,5463.54,5455.96,5463.54,5411.54,-0.16,8111.63,8047.04,8111.63,8031.48,132.22,0.11,1516.08,1508.75,1524.11,1507.27,0.53
2025-02-27,22550.89,22587.27,22686.41,22378.06,74.23,-1.07,18.03,17.75,18.62,16.98,6.12,5472.56,5515.04,5515.04,5437.38,-1.0,8102.52,8104.23,8136.86,8048.27,93.87,-0.51,1508.06,1502.9,1514.88,1502.68,0.38
