"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 25","5,352.16","5,342.66","5,362.23","5,317.54","","-0.06%"
"2025- 07- 24","5,355.20","5,365.92","5,396.31","5,337.97","","0.20%"
"2025- 07- 23","5,344.25","5,305.59","5,371.35","5,305.59","","1.02%"
"2025- 07- 22","5,290.48","5,332.32","5,332.32","5,277.85","","-0.98%"
"2025- 07- 21","5,342.98","5,358.19","5,360.05","5,318.53","","-0.30%"
"2025- 07- 18","5,359.23","5,385.37","5,404.32","5,353.10","","-0.33%"
"2025- 07- 17","5,377.15","5,338.99","5,377.15","5,336.58","","1.49%"
"2025- 07- 16","5,298.07","5,327.78","5,351.43","5,298.07","","-1.05%"
"2025- 07- 15","5,354.17","5,374.63","5,397.76","5,351.38","","-0.31%"
"2025- 07- 14","5,370.85","5,357.50","5,371.21","5,337.64","","-0.23%"
