Date,Close,Open,High,Low,유로환율_변동%_x,return,log_return,lag_1,lag_2,lag_3,lag_4,lag_5,sma_5,std_5,sma_10,std_10,sma_20,std_20,sma_60,std_60,bb_upper,bb_lower,bb_width,volatility_20,momentum_5,momentum_10,momentum_20,rsi_14,macd,macd_sig,macd_hist,sto_k,sto_d,Volume,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,VWAP,alpha10,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,adv20,alpha17,alpha18,alpha19,alpha20,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27,alpha28,alpha29,alpha30,alpha31,alpha32,alpha33,alpha34,alpha35,alpha36,alpha37,returns,alpha38,alpha39,alpha40,alpha41,alpha42,alpha43,alpha44,alpha48,alpha45,alpha46,alpha47,alpha49,alpha50,cap,alpha56,alpha57,alpha58,alpha59,alpha51,alpha52,alpha53,alpha54,alpha55,alpha60,adv180,adv120,adv60,adv50,adv15,alpha61,alpha62,alpha63,alpha64,alpha65,alpha66,alpha67,alpha68,alpha69,alpha70,adv5,adv10,adv30,adv40,adv81,adv150,alpha73,alpha71,alpha72,alpha74,alpha75,alpha76,alpha77,alpha78,alpha79,alpha80,alpha81,alpha82,alpha83,alpha84,alpha85,alpha86,alpha87,alpha88,alpha89,alpha90,alpha91,alpha92,alpha93,alpha94,alpha95,alpha96,alpha97,alpha98,alpha99,alpha100,alpha101
2025-06-02,1575.63,1568.73,1578.69,1561.89,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,1572.07,-27.0,,,,,,,,,,,,-1,,0.0,,,,1,,,,,,12.0,,,,,,,,,-1.8024673483182596,0.7,,,,,,,,,,,,,,,,,-0.8001054983700636,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.4106898398904892
2025-06-03,1567.73,1575.49,1577.5,1564.57,-0.5,-0.005013867468885547,-0.005026479075326165,,,,,,,,,,,,,,,,,,,,,,-0.6301994301993545,-0.1260398860398709,-0.5041595441594836,,,,,,,,,,,,,1569.9333333333332,-32.0,,,,,,,,,,,-16269.0,-1,,0.0,,,,1,,,,,,39.0,,,,,-0.005013867468885547,,,,1.0883644799082504,6.166666666666667,,,,,7.900000000000091,,7.900000000000091,,,,,,,7.900000000000091,,,-0.2505015786992389,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.6001082669553749
2025-06-04,1555.12,1567.8,1570.3,1549.39,-0.8,-0.008043476874206701,-0.008076000151876924,-0.005026479075326165,,,,,,,,,,,,,,,,,,,,,-2.122689588558387,-0.5253698265435742,-1.597319762014813,,,,,,,,,,-0.3333333333333333,,35.0,1558.2699999999998,-38.0,,,,,,,,,,,-2112.0,-1,,0.0,,,,1,,,,,,41.0,,,,,-0.008043476874206701,,,,1.5399618222729714,10.0,,,,,12.610000000000127,,12.610000000000127,,,,,,,12.610000000000127,,,-0.2853871115497672,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.60637941753145
2025-06-05,1551.41,1555.12,1559.07,1546.86,-0.24,-0.0023856679870362107,-0.0023885182269615234,-0.008076000151876924,-0.005026479075326165,,,,,,,,,,,,,,,,,,,,-3.563783705921651,-1.1330526024191896,-2.4307311035024615,,,,,,,,,,-0.3333333333333333,,5.0,1552.4466666666667,-13.0,,,,,,,,,,,-577.5,-1,,0.0,24.220000000000027,,,1,,,,,,30.0,,,,,-0.0023856679870362107,,,,0.5063333304353819,10.333333333333334,,,,,3.709999999999809,,3.709999999999809,,,,,,,3.709999999999809,,,-0.37712240443782363,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.30382442060435655
2025-06-06,1549.93,1551.35,1556.53,1546.32,-0.1,-0.0009539709038874911,-0.0009544262237278417,-0.0023885182269615234,-0.008076000151876924,-0.005026479075326165,,,1559.964,11.214396105007252,,,,,,,,,,,,,,,-4.770295806922377,-1.8605012433198271,-2.9097945636025497,,,,,,,,,,-0.3333333333333333,,14.0,1550.9266666666665,-5.0,,,,,,,,,,,-5115.0,-1,,0.0,17.799999999999955,,,1,,,,,,27.0,,,,,-0.0009539709038874911,,,,0.4899342500568764,15.0,,,,,1.4800000000000182,,1.4800000000000182,,,,,,,1.4800000000000182,,,-0.35519757148142933,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.13906571344626778
2025-06-09,1546.92,1550.54,1555.65,1543.61,-0.19,-0.0019420231881439598,-0.0019439113601541855,-0.0009544262237278417,-0.0023885182269615234,-0.008076000151876924,-0.005026479075326165,,1554.2220000000002,8.107408340524277,,,,,,,,,,,-28.710000000000036,,,,-5.901320435262733,-2.6686650817084083,-3.2326553535543243,,,,,,,,1.0,,-0.3333333333333333,,30.0,1548.7266666666667,-12.0,,,,,,,,,,,-11154.0,-1,,0.0,8.199999999999818,,,1,,,,,,29.0,35.0,,,,-0.0019420231881439598,,,,0.8916400463122045,35.0,,,,,3.009999999999991,,3.009999999999991,,,,,,,3.009999999999991,,,-0.2781487462252801,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.30063948177060323
2025-06-10,1560.9,1546.78,1565.28,1542.58,0.9,0.00903731285392917,0.008996720721353848,-0.0019439113601541855,-0.0009544262237278417,-0.0023885182269615234,-0.008076000151876924,-0.005026479075326165,1552.8560000000002,5.378664332341584,,,,,,,,,,,-6.829999999999927,,,,-5.604985651936886,-3.2559291957541037,-2.3490564561827822,,,,,,,,,,-0.3333333333333333,,31.0,1556.2533333333333,-40.0,,,,,,,,,,,-1015.0,-1,,0.0,-9.490000000000009,,,1,,,,,,2.0,6.0,,,,0.00903731285392917,,,,-2.36478443415308,0.6,,,,,-13.980000000000018,,-13.980000000000018,,,,,,,-13.980000000000018,,,-0.7711998721899402,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.6219990308797009
2025-06-11,1574.05,1560.83,1577.32,1556.97,0.84,0.00842462681786138,0.008389337709208227,0.008996720721353848,-0.0019439113601541855,-0.0009544262237278417,-0.0023885182269615234,-0.008076000151876924,1556.642,11.046618034493648,,,,,,,,,,,18.930000000000064,,,,-4.259937196032752,-3.4567307958098334,-0.8032064002229182,,,,,,,,,,-1.0,,53.0,1569.4466666666667,-39.0,,,,,,,,,,,-18427.5,-1,,0.0,-24.11999999999989,,,1,,,,,,3.0,15.0,,,,0.00842462681786138,,,,-2.334698618435823,0.5,,,,,-13.149999999999864,,-13.149999999999864,,,,,,,-13.149999999999864,,,-0.8046534052894233,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.6495995282787129
2025-06-12,1569.97,1573.98,1578.79,1560.27,-0.26,-0.0025920396429591763,-0.002595404794042334,0.008389337709208227,0.008996720721353848,-0.0019439113601541855,-0.0009544262237278417,-0.0023885182269615234,1560.354,11.931870347937846,,,,,,,,,,,18.559999999999945,,,,-3.4830480958678436,-3.461994255821436,-0.021053840046407757,,,,,,,-0.7777777777777778,,,-1.0,,76.0,1569.6766666666665,-17.0,,,,,,,,,,,-24320.0,-1,,0.0,-23.049999999999955,,,1,,,,,,32.0,20.0,,,,-0.0025920396429591763,,,,-0.17398323474571953,3.4285714285714284,,,,,4.079999999999927,,4.079999999999927,,,,,,,4.079999999999927,,,-0.5304812418003587,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.216510987527671
2025-06-13,1579.06,1569.55,1582.55,1568.86,0.58,0.005789919552602774,0.005773222387550471,-0.002595404794042334,0.008389337709208227,0.008996720721353848,-0.0019439113601541855,-0.0009544262237278417,1566.1799999999998,12.659200211703533,1563.0720000000001,11.74104273241701,,,,,,,,,29.12999999999988,,,,-2.1095532385209026,-3.1915060523613294,1.0819528138404269,,,,,,,-1.0,,,-1.0,,47.0,1576.823333333333,-33.0,,,,,,,,,-30.0,,-3240.0,-1,,0.0,-18.159999999999854,,,1,,,,,,7.0,9.0,,,,0.005789919552602774,-857.5,,,-1.133201042088558,1.0,,,,,-9.089999999999918,,-9.089999999999918,,,,,,,-9.089999999999918,,0.1194494391643155,-0.7229018534457979,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.6946169016141958
2025-06-16,1571.78,1575.98,1579.54,1569.75,-0.46,-0.004610337795903918,-0.004620998181137373,0.005773222387550471,-0.002595404794042334,0.008389337709208227,0.008996720721353848,-0.0019439113601541855,1571.1519999999998,6.66764351176576,1562.687,11.339764890762748,,,,,,,,,24.8599999999999,-3.8500000000001364,,,-1.5901535270552358,-2.871235547300111,1.2810820202448752,,,,,,,-1.0,,,-1.0,,40.0,1573.6899999999998,-18.0,,,,,,,,,-8.0,,-2160.0,-1,,0.0,2.269999999999982,,,1,,,,,,34.0,32.0,,,,-0.004610337795903918,-52.0,,,0.9473915921089429,4.0,,,,,7.279999999999973,,7.279999999999973,,,,,,,7.279999999999973,,0.7308879466235658,-0.21013967842571443,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.4289653763660567
2025-06-17,1586.22,1571.54,1587.44,1564.22,0.92,0.009187036353688116,0.009145092234255671,-0.004620998181137373,0.005773222387550471,-0.002595404794042334,0.008389337709208227,0.008996720721353848,1576.216,6.548864787120656,1564.536,13.546195201769429,,,,,,,,,25.319999999999936,18.49000000000001,,,-0.013186191552676974,-2.299625676150624,2.286439484597947,,,,,,,-0.7777777777777778,,,-0.3333333333333333,,38.0,1579.2933333333333,-41.0,,,,,,,,,-32.0,,-728.0,-1,,0.0,-16.25,,,1,,1.9,,,,1.0,1.0,,,,0.009187036353688116,-1004.5,,,-3.5061025182083085,0.0625,,,,,-14.440000000000055,,-14.440000000000055,,,,,,,-14.440000000000055,,-2.5937601142314253,-0.9044208290934578,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.632186383015376
