"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 05- 30","7,751.89","7,776.04","7,811.49","7,747.90","126.16M","-0.36%"
"2025- 05- 29","7,779.72","7,866.77","7,869.92","7,779.72","38.40M","-0.11%"
"2025- 05- 28","7,788.10","7,825.42","7,853.66","7,787.58","59.92M","-0.49%"
"2025- 05- 27","7,826.79","7,816.51","7,856.40","7,808.12","51.61M","-0.02%"
"2025- 05- 26","7,828.13","7,833.13","7,840.30","7,799.81","45.80M","1.21%"
"2025- 05- 23","7,734.40","7,876.87","7,888.97","7,620.40","79.98M","-1.65%"
"2025- 05- 22","7,864.44","7,870.57","7,887.10","7,807.05","61.21M","-0.58%"
"2025- 05- 21","7,910.49","7,913.74","7,930.61","7,873.17","58.00M","-0.40%"
"2025- 05- 20","7,942.42","7,899.86","7,955.53","7,878.57","65.94M","0.75%"
"2025- 05- 19","7,883.63","7,854.11","7,883.63","7,824.42","56.01M","-0.04%"
"2025- 05- 16","7,886.69","7,874.93","7,915.43","7,855.72","67.20M","0.42%"
"2025- 05- 15","7,853.47","7,806.12","7,853.47","7,800.37","62.40M","0.21%"
"2025- 05- 14","7,836.79","7,875.39","7,877.74","7,805.70","66.23M","-0.47%"
"2025- 05- 13","7,873.83","7,842.79","7,879.39","7,840.86","57.05M","0.30%"
"2025- 05- 12","7,850.10","7,800.18","7,880.29","7,783.69","86.22M","1.37%"
"2025- 05- 09","7,743.75","7,732.02","7,767.07","7,723.14","55.90M","0.64%"
"2025- 05- 08","7,694.44","7,657.03","7,719.83","7,646.01","62.22M","0.89%"
"2025- 05- 07","7,626.84","7,668.18","7,678.95","7,613.20","61.70M","-0.91%"
"2025- 05- 06","7,696.92","7,743.07","7,746.28","7,647.78","60.34M","-0.40%"
"2025- 05- 05","7,727.93","7,735.59","7,747.49","7,713.16","46.76M","-0.55%"
"2025- 05- 02","7,770.48","7,710.08","7,779.70","7,679.01","80.87M","2.33%"
"2025- 04- 30","7,593.87","7,586.65","7,609.32","7,512.23","111.55M","0.50%"
"2025- 04- 29","7,555.87","7,572.23","7,588.43","7,533.57","69.14M","-0.24%"
"2025- 04- 28","7,573.76","7,564.26","7,618.55","7,564.26","67.01M","0.50%"
"2025- 04- 25","7,536.26","7,565.35","7,574.25","7,525.13","71.77M","0.45%"
"2025- 04- 24","7,502.78","7,448.46","7,507.30","7,411.03","70.60M","0.27%"
"2025- 04- 23","7,482.36","7,403.93","7,555.17","7,403.93","94.94M","2.13%"
"2025- 04- 22","7,326.47","7,284.71","7,326.47","7,218.30","75.62M","0.56%"
"2025- 04- 17","7,285.86","7,311.91","7,331.64","7,257.77","60.44M","-0.60%"
"2025- 04- 16","7,329.97","7,276.39","7,332.14","7,243.77","69.62M","-0.07%"
"2025- 04- 15","7,335.40","7,255.06","7,344.20","7,239.73","76.65M","0.86%"
"2025- 04- 14","7,273.12","7,238.01","7,308.76","7,222.86","77.14M","2.37%"
"2025- 04- 11","7,104.80","7,191.48","7,204.60","7,007.63","89.41M","-0.30%"
"2025- 04- 10","7,126.02","7,296.50","7,384.47","7,126.02","125.59M","3.83%"
"2025- 04- 09","6,863.02","6,902.42","6,999.35","6,792.57","122.32M","-3.34%"
"2025- 04- 08","7,100.42","7,036.17","7,179.49","6,952.12","118.58M","2.50%"
"2025- 04- 07","6,927.12","6,804.84","7,285.73","6,763.76","197.56M","-4.78%"
"2025- 04- 04","7,274.95","7,546.43","7,552.52","7,215.76","177.45M","-4.26%"
"2025- 04- 03","7,598.98","7,689.61","7,740.91","7,585.00","115.85M","-3.31%"
"2025- 04- 02","7,858.83","7,850.88","7,859.41","7,792.98","66.24M","-0.22%"
"2025- 04- 01","7,876.36","7,837.45","7,884.35","7,814.73","73.68M","1.10%"
"2025- 03- 31","7,790.71","7,849.32","7,853.21","7,753.74","93.21M","-1.58%"
"2025- 03- 28","7,916.08","7,949.23","7,975.55","7,894.62","74.15M","-0.93%"
"2025- 03- 27","7,990.11","7,968.80","8,015.89","7,926.93","71.34M","-0.51%"
"2025- 03- 26","8,030.68","8,121.99","8,127.91","8,025.21","68.18M","-0.96%"
"2025- 03- 25","8,108.59","8,042.73","8,142.51","8,042.73","66.80M","1.08%"
"2025- 03- 24","8,022.33","8,104.71","8,114.45","8,002.34","61.43M","-0.26%"
"2025- 03- 21","8,042.95","8,062.27","8,075.44","8,010.26","145.11M","-0.63%"
"2025- 03- 20","8,094.20","8,164.09","8,167.48","8,062.14","71.33M","-0.95%"
"2025- 03- 19","8,171.47","8,104.66","8,181.85","8,096.50","67.19M","0.70%"
